timestamp,L1.V,L1.P,L1.Q,L1.S,L1.I,L1.PF,F,measure_cons
2022-02-20T01:29:00.000Z,233.2,336.6,298.2,449.6,1.999,0.748,50,336.6
2022-02-20T01:30:00.000Z,233.5,339.1,299.6,452.4,2.009,0.749,49.9,339.1
2022-02-20T01:31:00.000Z,234.4,340.9,302.7,455.8,2.014,0.747,50,340.9
2022-02-20T01:32:00.000Z,235.2,342.1,305.9,458.9,2.02,0.745,50,342.1
2022-02-20T01:33:00.000Z,235.2,342.5,307.2,460,2.025,0.744,50,342.5
2022-02-20T01:34:00.000Z,235,342.5,306.8,459.8,2.025,0.744,50,342.5
2022-02-20T01:35:00.000Z,234.9,343,305.5,459.3,2.025,0.746,49.9,343
2022-02-20T01:36:00.000Z,234.7,340.5,306.4,458,2.02,0.743,49.9,340.5
2022-02-20T01:37:00.000Z,235.2,340.1,308.4,459.1,2.021,0.74,49.9,340.1
2022-02-20T01:38:00.000Z,235.7,340.2,306.9,458.1,2.012,0.742,50.1,340.2
2022-02-20T01:39:00.000Z,235.6,339.3,307.1,457.6,2.011,0.741,50,339.3
2022-02-20T01:40:00.000Z,235.5,339.4,307.4,457.8,2.014,0.741,50,339.4
2022-02-20T01:41:00.000Z,235.2,339.6,305.7,456.9,2.013,0.743,50,339.6
2022-02-20T01:42:00.000Z,234.7,337.9,304.1,454.5,2.007,0.743,50,337.9
2022-02-20T01:43:00.000Z,234.9,273.1,210.4,346.2,1.575,0.802,50,273.1
2022-02-20T01:44:00.000Z,234.8,220.1,133.7,257.4,1.223,0.854,49.9,220.1
2022-02-20T01:45:00.000Z,235.1,221.2,133.7,258.4,1.226,0.856,49.9,221.2
2022-02-20T01:46:00.000Z,234.9,220.8,133.4,257.9,1.224,0.855,49.9,220.8
2022-02-20T01:47:00.000Z,235,220.2,133.9,257.6,1.222,0.854,49.9,220.2
2022-02-20T01:48:00.000Z,235,220.2,133.7,257.6,1.221,0.855,50,220.2
2022-02-20T01:49:00.000Z,235.3,220.7,134.4,258.3,1.223,0.854,50,220.7
2022-02-20T01:50:00.000Z,235.2,220.7,134.4,258.4,1.224,0.854,49.9,220.7
2022-02-20T01:51:00.000Z,235,219.8,133.6,257.2,1.22,0.854,49.9,219.8
2022-02-20T01:52:00.000Z,234.8,219.9,133,256.9,1.22,0.855,49.9,219.9
2022-02-20T01:53:00.000Z,234.8,220.2,133.1,257.3,1.222,0.855,49.9,220.2
2022-02-20T01:54:00.000Z,235.1,220.2,133.8,257.6,1.222,0.854,49.9,220.2
2022-02-20T01:55:00.000Z,235.2,219.2,134.6,257.2,1.219,0.852,49.9,219.2
2022-02-20T01:56:00.000Z,235.6,220.1,135.2,258.2,1.222,0.852,49.9,220.1
2022-02-20T01:57:00.000Z,235.6,219.1,135.8,257.8,1.219,0.85,49.9,219.1
